ZIP5,Shape_Length,Shape_Area,shape_wkt
02134,0.133143821962780,0.000377871432155,
02125,0.198982872685067,0.000657053830711,
02110,0.059920143687760,0.000067385354599,
02118,0.103276241152414,0.000316271705054,
02126,0.149134068441052,0.000616328745936,
02109,0.073438580194825,0.000056216601346,
02021,0.001419937986697,0.000000023931287,
02113,0.027746168680170,0.000028504822489,
02130,0.203852815626883,0.001067442544101,
02121,0.113080566907116,0.000496116797124,
02119,0.120646353095567,0.000451666429809,
02115,0.112143178427475,0.000200674678339,
02163,0.024096425941880,0.000033216524043,
02135,0.198360079618377,0.000798099897226,
02199,0.017056158112237,0.000016273674031,
02459,0.029301549251862,0.000000252005533,
02124,0.188698837255393,0.000868668403631,
02132,0.219928505710629,0.001311743703852,
02114,0.089778397635508,0.000127309413356,
02108,0.059579229418142,0.000062560510528,
02136,0.205389015951252,0.001298746186682,
02111,0.044494672783339,0.000079421935027,
02210,0.121632099775304,0.000328615491581,
02116,0.076287690113736,0.000194069040419,
02131,0.217903865681305,0.000828397420074,
02127,0.170220963834645,0.000685415403805,
02120,0.091349984292701,0.000175867700150,
02203,0.012789377941337,0.000008776905224,
02215,0.125684892624999,0.000255782257080,
02129,0.124220377015894,0.000429086797038,
02128,0.269294523514855,0.001500916569248,
02122,0.239182836798759,0.000619608558420,
02151,0.082718191392548,0.000088455823443,
02186,0.000309806619834,0.000000001008717,"MULTIPOLYGON (((-71.113266603999989 42.258920680000074, -71.113277000999972 42.258912001000056, -71.113254000999973 42.258894001000044, -71.113217999999961 42.258867001000056, -71.113182999999935 42.258840001000067, -71.113159000999985 42.258822000000066, -71.113158260999967 42.258821440000077, -71.113266603999989 42.258920680000074)))"
02026,0.011160069487410,0.000000194337468,
02152,0.050494053810717,0.000090078947443,
02467,0.008755317567708,0.000000057824926,
02467,0.000694068803233,0.000000001845387,"MULTIPOLYGON (((-71.166682194999964 42.340104594000024, -71.166899229999956 42.34035993100008, -71.166684582999949 42.340090398000029, -71.166682194999964 42.340104594000024)))"
02467,0.033812242199917,0.000028488542601,
02467,0.023408789050202,0.000013016614875,
02467,0.071577323272345,0.000089518252521,
02467,0.037907614112657,0.000045311724230,
02467,0.003310433745511,0.000000051319627,
